source_file,source_index,source_group,pair_id,page_number,page_role,orientation,rotation_required,content_type,testimonial_type,staff_recognition,duplicate_group,public_candidate,publication_status,consent_status,exclusion_reason,original_asset,normalised_asset,notes
fwpatientfeedbackbatch7\NHS patient thank you card 9.pdf,92,NHS patient feedback,feedback-092,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-092.jpg,/patient-feedback-clean/feedback-card-092.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch7\NHS patient thank you card 9.pdf,93,NHS patient feedback,feedback-092,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-093.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch7\NHS patient thank you card.pdf,94,NHS patient feedback,feedback-095,1,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-094.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch7\NHS patient thank you card.pdf,95,NHS patient feedback,feedback-095,2,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-095.jpg,/patient-feedback-clean/feedback-card-095.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch7\NHS patient Xmas card 1.pdf,96,NHS patient feedback,feedback-042-duplicate,1,duplicate,upright,none,duplicate scan,patient,no,duplicate-of-feedback-card-042,no,pending,pending,Duplicate scan,/patient-feedback/feedback-card-096.jpg,,Visual duplicate of retained message page
fwpatientfeedbackbatch7\NHS patient Xmas card 1.pdf,97,NHS patient feedback,feedback-042-duplicate,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-097.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch7\NHS patient Xmas Card.pdf,98,NHS patient feedback,feedback-098,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-098.jpg,/patient-feedback-clean/feedback-card-098.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch7\NHS patient Xmas Card.pdf,99,NHS patient feedback,feedback-098,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-099.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch7\NHS staff and patient Thank you card.pdf,100,NHS patient feedback,feedback-100-review,1,unknown,upright,none,manual review required,patient,no,,review,pending,pending,Manual review required before public display,/patient-feedback/feedback-card-100.jpg,,Mixed source label: NHS staff and patient. Confirm whether this is patient feedback or staff recognition before publishing.
fwpatientfeedbackbatch7\Pvt Patient Thank you card 1.pdf,101,Private patient feedback,feedback-101,1,duplicate,upright,none,duplicate scan,patient,no,duplicate-of-feedback-card-022,no,pending,pending,Duplicate scan,/patient-feedback/feedback-card-101.jpg,,Visual duplicate of retained message page
fwpatientfeedbackbatch7\Pvt Patient Thank you card 1.pdf,102,Private patient feedback,feedback-101,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-102.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch7\Pvt Patient Thank you card 2.pdf,103,Private patient feedback,feedback-013-duplicate,1,duplicate,upright,none,duplicate scan,patient,no,duplicate-of-feedback-card-013,no,pending,pending,Duplicate scan,/patient-feedback/feedback-card-103.jpg,,Visual duplicate of retained normalised message page
fwpatientfeedbackbatch7\Pvt Patient Thank you card 2.pdf,104,Private patient feedback,feedback-013-duplicate,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-104.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch7\Pvt Patient Thank you card.pdf,105,Private patient feedback,feedback-105,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-105.jpg,/patient-feedback-clean/feedback-card-105.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch7\Pvt Patient Thank you card.pdf,106,Private patient feedback,feedback-105,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-106.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch7\Registrar Thank you card.pdf,107,Colleague and trainee feedback,feedback-107,1,staff-recognition,upright,none,colleague or trainee feedback,colleague-trainee,no,,no,pending,pending,Colleague/trainee feedback excluded from patient testimonials,/patient-feedback/feedback-card-107.jpg,,Non-patient recognition content retained in the source archive.
fwpatientfeedbackbatch7\Registrar Thank you card.pdf,108,Colleague and trainee feedback,feedback-108,2,staff-recognition,upright,none,colleague or trainee feedback,colleague-trainee,no,,no,pending,pending,Colleague/trainee feedback excluded from patient testimonials,/patient-feedback/feedback-card-108.jpg,,Non-patient recognition content retained in the source archive.
fwpatientfeedbackbatch7\SPR Thank you card.pdf,109,Colleague and trainee feedback,feedback-109,1,staff-recognition,upright,none,colleague or trainee feedback,colleague-trainee,no,,no,pending,pending,Colleague/trainee feedback excluded from patient testimonials,/patient-feedback/feedback-card-109.jpg,,Non-patient recognition content retained in the source archive.
fwpatientfeedbackbatch7\SPR Thank you card.pdf,110,Colleague and trainee feedback,feedback-110,2,staff-recognition,upright,none,colleague or trainee feedback,colleague-trainee,no,,no,pending,pending,Colleague/trainee feedback excluded from patient testimonials,/patient-feedback/feedback-card-110.jpg,,Non-patient recognition content retained in the source archive.
fwpatientfeedbackbatch7\Thank you and Xmas card Colleague.pdf,111,Colleague and trainee feedback,feedback-111,1,staff-recognition,upright,none,colleague or trainee feedback,colleague-trainee,no,,no,pending,pending,Colleague/trainee feedback excluded from patient testimonials,/patient-feedback/feedback-card-111.jpg,,Non-patient recognition content retained in the source archive.
fwpatientfeedbackbatch7\Thank you and Xmas card Colleague.pdf,112,Colleague and trainee feedback,feedback-112,2,staff-recognition,upright,none,colleague or trainee feedback,colleague-trainee,no,,no,pending,pending,Colleague/trainee feedback excluded from patient testimonials,/patient-feedback/feedback-card-112.jpg,,Non-patient recognition content retained in the source archive.
fwpatientthankyoucardssecondlot\evaluation feedback- Gastro & Colorectal GP Masterclass 2016.doc,113,Colleague and trainee feedback,feedback-113,1,staff-recognition,upright,none,colleague or trainee feedback,colleague-trainee,no,,no,pending,pending,Colleague/trainee feedback excluded from patient testimonials,/patient-feedback/feedback-card-113.jpg,,Non-patient recognition content retained in the source archive.
fwpatientthankyoucardssecondlot\Patient feedback 1.pdf,114,Patient thank-you cards,feedback-114,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-114.jpg,/patient-feedback-clean/feedback-card-114.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientthankyoucardssecondlot\Patient feedback 1_0001.pdf,115,Patient thank-you cards,feedback-116-review,1,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-115.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientthankyoucardssecondlot\Patient feedback 1_0001.pdf,116,Patient thank-you cards,feedback-116-review,2,unknown,upright,none,manual review required,patient,no,,review,pending,pending,Manual review required before public display,/patient-feedback/feedback-card-116.jpg,,Very faint / unclear content. Review original scan to confirm whether it contains a meaningful patient message.
fwpatientthankyoucardssecondlot\Patient feedback 2.pdf,117,Patient thank-you cards,feedback-117,1,message,rotate-90-clockwise,rotate-90-clockwise,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-117.jpg,/patient-feedback-clean/feedback-card-117.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientthankyoucardssecondlot\Patient feedback 2.pdf,118,Patient thank-you cards,feedback-117,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-118.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientthankyoucardssecondlot\Patient feedback 2_0001.pdf,119,Patient thank-you cards,feedback-119,1,message,rotate-90-clockwise,rotate-90-clockwise,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-119.jpg,/patient-feedback-clean/feedback-card-119.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientthankyoucardssecondlot\Patient feedback 2_0001.pdf,120,Patient thank-you cards,feedback-119,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-120.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientthankyoucardssecondlot\Patient feedback 3.pdf,121,Patient thank-you cards,feedback-121,1,message,rotate-90-clockwise,rotate-90-clockwise,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-121.jpg,/patient-feedback-clean/feedback-card-121.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientthankyoucardssecondlot\Patient feedback 3.pdf,122,Patient thank-you cards,feedback-121,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-122.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientthankyoucardssecondlot\Patient feedback 4.pdf,123,Patient thank-you cards,feedback-123,1,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-123.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientthankyoucardssecondlot\Patient feedback 4.pdf,124,Patient thank-you cards,feedback-123,2,blank,upright,none,blank/non-content page,patient,no,,no,pending,pending,Blank or non-content page excluded from patient testimonials,/patient-feedback/feedback-card-124.jpg,,No meaningful patient testimonial content visible in the rendered page.
fwpatientthankyoucardssecondlot\patient feedback 5.pdf,125,Patient thank-you cards,feedback-125,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-125.jpg,/patient-feedback-clean/feedback-card-125.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientthankyoucardssecondlot\patient feedback 5.pdf,126,Patient thank-you cards,feedback-125,2,continuation,upright,none,patient feedback continuation,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-126.jpg,/patient-feedback-clean/feedback-card-126.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientthankyoucardssecondlot\Patient feedback 6.doc,127,Patient thank-you cards,feedback-127,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-127.jpg,/patient-feedback-clean/feedback-card-127.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientthankyoucardssecondlot\Private patient feedback .pdf,128,Private patient feedback,feedback-128,1,blank,upright,none,blank/non-content page,patient,no,,no,pending,pending,Blank or non-content page excluded from patient testimonials,/patient-feedback/feedback-card-128.jpg,,No meaningful patient testimonial content visible in the rendered page.
fwpatientthankyoucardssecondlot\Private patient feedback .pdf,129,Private patient feedback,feedback-128,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-129.jpg,,Physical card context preserved in manifest; message page is used where present.
fwrepatientfeedbackforprofsheth\Christmas card doriel 2014.pdf,130,Patient thank-you cards,feedback-130,1,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-130.jpg,,Physical card context preserved in manifest; message page is used where present.
fwrepatientfeedbackforprofsheth\Christmas card doriel 2014.pdf,131,Patient thank-you cards,feedback-130,2,blank,upright,none,blank/non-content page,patient,no,,no,pending,pending,Blank or non-content page excluded from patient testimonials,/patient-feedback/feedback-card-131.jpg,,No meaningful patient testimonial content visible in the rendered page.
fwrepatientfeedbackforprofsheth\David thank you card .pdf,132,Patient thank-you cards,feedback-132,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-132.jpg,/patient-feedback-clean/feedback-card-132.jpg,Candidate only; dated publication consent has not been confirmed.
fwrepatientfeedbackforprofsheth\David thank you card .pdf,133,Patient thank-you cards,feedback-132,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-133.jpg,,Physical card context preserved in manifest; message page is used where present.
fwrepatientfeedbackforprofsheth\Mr Rizvi Thank u letter 2015.pdf,134,Patient thank-you cards,feedback-134,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-134.jpg,/patient-feedback-clean/feedback-card-134.jpg,Candidate only; dated publication consent has not been confirmed.
fwrepatientfeedbackforprofsheth\Patient & Jr Thank u card.pdf,135,Patient thank-you cards,feedback-135,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-135.jpg,/patient-feedback-clean/feedback-card-135.jpg,Candidate only; dated publication consent has not been confirmed.
fwrepatientfeedbackforprofsheth\Patient & Jr Thank u card.pdf,136,Patient thank-you cards,feedback-135,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-136.jpg,,Physical card context preserved in manifest; message page is used where present.
fwrepatientfeedbackforprofsheth\Patient Thank u card .pdf,137,Patient thank-you cards,feedback-138,1,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-137.jpg,,Physical card context preserved in manifest; message page is used where present.
fwrepatientfeedbackforprofsheth\Patient Thank u card .pdf,138,Patient thank-you cards,feedback-138,2,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-138.jpg,/patient-feedback-clean/feedback-card-138.jpg,Candidate only; dated publication consent has not been confirmed.
fwrepatientfeedbackforprofsheth\Patient Thank u card 1.pdf,139,Patient thank-you cards,feedback-140,1,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-139.jpg,,Physical card context preserved in manifest; message page is used where present.
fwrepatientfeedbackforprofsheth\Patient Thank u card 1.pdf,140,Patient thank-you cards,feedback-140,2,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-140.jpg,/patient-feedback-clean/feedback-card-140.jpg,Candidate only; dated publication consent has not been confirmed.
fwrepatientfeedbackforprofsheth\Patient Thank u card 2.pdf,141,Patient thank-you cards,feedback-142,1,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-141.jpg,,Physical card context preserved in manifest; message page is used where present.
fwrepatientfeedbackforprofsheth\Patient Thank u card 2.pdf,142,Patient thank-you cards,feedback-142,2,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-142.jpg,/patient-feedback-clean/feedback-card-142.jpg,Candidate only; dated publication consent has not been confirmed.
fwrepatientfeedbackforprofsheth\Patient Thank you card .pdf,143,Patient thank-you cards,feedback-144,1,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-143.jpg,,Physical card context preserved in manifest; message page is used where present.
fwrepatientfeedbackforprofsheth\Patient Thank you card .pdf,144,Patient thank-you cards,feedback-144,2,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-144.jpg,/patient-feedback-clean/feedback-card-144.jpg,Candidate only; dated publication consent has not been confirmed.
fwtraineefeedbackforwebsite\Middle grade feedback 2025.pdf,145,Colleague and trainee feedback,feedback-145,1,staff-recognition,upright,none,colleague or trainee feedback,colleague-trainee,no,,no,pending,pending,Colleague/trainee feedback excluded from patient testimonials,/patient-feedback/feedback-card-145.jpg,,Non-patient recognition content retained in the source archive.
fwtraineefeedbackforwebsite\Mr Sheth training session feedback 2024-25.xlsx,146,Colleague and trainee feedback,feedback-146,1,staff-recognition,upright,none,colleague or trainee feedback,colleague-trainee,no,,no,pending,pending,Colleague/trainee feedback excluded from patient testimonials,/patient-feedback/feedback-card-146.jpg,,Non-patient recognition content retained in the source archive.
fwtraineefeedbackforwebsite\Trainee feedback email 2025.pdf,147,Colleague and trainee feedback,feedback-147,1,staff-recognition,upright,none,colleague or trainee feedback,colleague-trainee,no,,no,pending,pending,Colleague/trainee feedback excluded from patient testimonials,/patient-feedback/feedback-card-147.jpg,,Non-patient recognition content retained in the source archive.
Patient feedback 2025.pdf,148,Patient thank-you cards,feedback-148,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-148.jpg,/patient-feedback-clean/feedback-card-148.jpg,Candidate only; dated publication consent has not been confirmed.
Patient feedback 2025.pdf,149,Patient thank-you cards,feedback-148,2,continuation,upright,none,patient feedback continuation,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-149.jpg,/patient-feedback-clean/feedback-card-149.jpg,Candidate only; dated publication consent has not been confirmed.
Patient feedback 2025.pdf,150,Patient thank-you cards,feedback-148,3,continuation,upright,none,patient feedback continuation,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-150.jpg,/patient-feedback-clean/feedback-card-150.jpg,Candidate only; dated publication consent has not been confirmed.
Patient feedback letter to CEO.pdf,151,Patient thank-you cards,feedback-148-duplicate,1,duplicate,upright,none,duplicate scan,patient,no,duplicate-of-feedback-card-148,no,pending,pending,Duplicate scan,/patient-feedback/feedback-card-151.jpg,,Exact duplicate page exported from alternate source PDF
Patient feedback letter to CEO.pdf,152,Patient thank-you cards,feedback-148-duplicate,2,duplicate,upright,none,duplicate scan,patient,no,duplicate-of-feedback-card-149,no,pending,pending,Duplicate scan,/patient-feedback/feedback-card-152.jpg,,Exact duplicate page exported from alternate source PDF
Patient feedback letter to CEO.pdf,153,Patient thank-you cards,feedback-148-duplicate,3,duplicate,upright,none,duplicate scan,patient,no,duplicate-of-feedback-card-150,no,pending,pending,Duplicate scan,/patient-feedback/feedback-card-153.jpg,,Near-identical duplicate page exported from alternate source PDF
